customer_id|Size|Quantity|Date|Payment_Method|list_price|store_channel|discount_percentage|line_amount|is_return|product_id
A0356882|XL|-1|03OCT2023|Card|286|E-commerce|0|-286|1|191533
A0356882|XL|1|10SEP2023|Card|286|E-commerce|0|286|0|191533
A0356882|S|1|17JUN2023|Card|258|E-commerce|0|258|0|195936
A0356882|S|-1|04JUL2023|Card|258|E-commerce|0|-258|1|195936
A0356882|M|1|26MAR2024|Card|211|E-commerce|0|211|0|189363
A0356882|L|1|15AUG2024|Card|57|E-commerce|0|57|0|185976
A0356882|M|-1|15APR2024|Card|184.5|E-commerce|0|-184.5|1|191016
A0356882|M|1|26MAR2024|Card|184.5|E-commerce|0|184.5|0|191016
A0356882|M|-1|04SEP2024|Card|110.5|E-commerce|0|-110.5|1|186017
A0356882|L|-1|25AUG2024|Card|57|E-commerce|0|-57|1|185976
A0356882|S|-1|13MAR2024|Card|56|E-commerce|0|-56|1|191595
A0356882|M|-1|08APR2024|Card|211|E-commerce|0|-211|1|189363
A0356882|M|1|15AUG2024|Card|110.5|E-commerce|0|110.5|0|186017
A0356882|38|1|08JAN2024|Card|134.5|E-commerce|0.55|60.5|0|192184
A0356882|S|1|18FEB2024|Card|56|E-commerce|0|56|0|191595
A0356882||-1|26JAN2025|Card|68.5|E-commerce|0|-68.5|1|187396
A0356882||1|07JAN2025|Card|68.5|E-commerce|0|68.5|0|187396
A0357266|S|1|29DEC2024|Card|163|E-commerce|0|163|0|186115
A0357266|M|1|29JAN2025|Card|198.5|E-commerce|0|198.5|0|187226
A0357266|S|-1|05JAN2025|Card|163|E-commerce|0|-163|1|186115
A0357266|M|-1|10MAY2024|Card|121|E-commerce|0|-121|1|188400
A0357266|M|1|22FEB2024|Card|72|E-commerce|0|72|0|192773
A0357266|M|-1|21MAR2024|Card|72|E-commerce|0|-72|1|192773
A0357266|M|1|19APR2024|Card|121|E-commerce|0|121|0|188400
A0357266|S|1|20SEP2023|Card|70.5|E-commerce|0|70.5|0|192399
A0357266|M|-3|30SEP2023|Card|123.5|E-commerce|0|-370.5|1|191927
A0357266|M|1|20SEP2023|Card|108.5|E-commerce|0|108.5|0|191937
A0357266|S|-1|07OCT2023|Card|70.5|E-commerce|0|-70.5|1|192399
A0357266|S|1|05MAR2023|Card|83|E-commerce|0.35|54|0|194510
A0357266|M|3|20SEP2023|Card|123.5|E-commerce|0|370.5|0|191927
A0357328|M|2|16OCT2023|Card|112|E-commerce|0|224|0|193018
A0357328|L|1|05SEP2023|Card|62.5|E-commerce|0|62.5|0|196939
A0357328|M|-2|09NOV2023|Card|112|E-commerce|0|-224|1|193018
A0357328|S|1|05OCT2024|Card|67.5|E-commerce|0|67.5|0|186242
A0357328|S|1|02JAN2024|Card|63|E-commerce|0|63|0|193781
A0357328|S|-1|19JAN2024|Card|63|E-commerce|0|-63|1|193781
A0357328|38|2|27NOV2024|Card|182|E-commerce|0.45|200.2|0|185122
A0357328|L|-1|21DEC2024|Card|82.5|E-commerce|0|-82.5|1|186595
A0357328|L|1|27NOV2024|Card|82.5|E-commerce|0|82.5|0|186595
A0357328|S|-1|31OCT2024|Card|67.5|E-commerce|0|-67.5|1|186242
A0357849|M|1|28DEC2023|Card|194|E-commerce|0|194|0|193653
A0357849|XXL|-1|05JAN2024|Card|104.5|E-commerce|0|-104.5|1|192679
A0357849|XXL|1|28DEC2023|Card|104.5|E-commerce|0|104.5|0|192679
A0357849|M|-1|25JAN2024|Card|194|E-commerce|0|-194|1|193653
A0357849|L|1|08JUN2024|Card|108.5|E-commerce|0|108.5|0|190009
A0357849|38|1|08FEB2025|Card|209|E-commerce|0|209|0|186308
A0358076|38|1|12APR2023|Card|242|E-commerce|0|242|0|194586
A0358076|L|-1|09SEP2023|Card|163.5|E-commerce|0|-163.5|1|192901
A0358076|S|1|30APR2023|Card|77|E-commerce|0|77|0|194380
A0358076|S|1|17MAY2023|Card|65|E-commerce|0|65|0|195778
A0358076|P|1|30APR2023|Card|113|E-commerce|0|113|0|196284
A0358076|M|1|20APR2023|Card|80|E-commerce|0|80|0|196469
A0358076|S|-1|17MAY2023|Card|77|E-commerce|0|-77|1|194380
