product_id|category|Sub_Category|gender
182061|Underwear & Nightwear|Pajamas|Child
182064|Child|Kids|Child
182065|Child|Newborn|Child
182066|Accessories|Accessories|Man
182068|Sportswear|Sportswear|Man
182069|Outerwear|Suits|Man
182070|Bottoms|Pants and Jeans|Man
182071|Tops|Shirts|Man
182072|Tops|Polos|Man
182073|Tops|Sweatshirts|Man
182075|Accessories|Accessories|Woman
182076|Underwear & Nightwear|Underwear|Woman
182077|Sportswear|Sportswear|Woman
182079|Bottoms|Skirts and Shorts|Woman
182081|Tops|T-Shirts|Woman
182082|Tops|Blouses|Woman
182083|Outerwear|Dresses|Woman
182084|Tops|Knitwear|Woman
182087|Underwear & Nightwear|Pajamas|Child
182089|Outerwear|Coats|Child
182090|Child|Kids|Child
182092|Accessories|Accessories|Man
182094|Sportswear|Sportswear|Man
182095|Outerwear|Suits|Man
182096|Bottoms|Pants and Jeans|Man
182097|Tops|Shirts|Man
182098|Tops|Polos|Man
182100|Outerwear|Blazers|Man
182101|Accessories|Accessories|Woman
182103|Sportswear|Sportswear|Woman
182105|Bottoms|Skirts and Shorts|Woman
182106|Bottoms|Pants and Jeans|Woman
182108|Tops|Blouses|Woman
182110|Tops|Knitwear|Woman
182115|Outerwear|Coats|Child
182116|Child|Kids|Child
182120|Sportswear|Sportswear|Man
182121|Outerwear|Suits|Man
182123|Tops|Shirts|Man
182125|Tops|Sweatshirts|Man
182126|Outerwear|Blazers|Man
182127|Accessories|Accessories|Woman
182129|Sportswear|Sportswear|Woman
182131|Bottoms|Skirts and Shorts|Woman
182132|Bottoms|Pants and Jeans|Woman
182133|Tops|T-Shirts|Woman
182135|Outerwear|Dresses|Woman
182136|Tops|Knitwear|Woman
182138|Accessories|Accessories|Child
182141|Outerwear|Coats|Child
182142|Child|Kids|Child
182143|Child|Newborn|Child
182145|Underwear & Nightwear|Underwear|Man
182147|Outerwear|Suits|Man
182148|Bottoms|Pants and Jeans|Man
182149|Tops|Shirts|Man
182150|Tops|Polos|Man
182151|Tops|Sweatshirts|Man
182153|Accessories|Accessories|Woman
182154|Underwear & Nightwear|Underwear|Woman
182155|Sportswear|Sportswear|Woman
182156|Outerwear|Suits|Woman
182158|Bottoms|Pants and Jeans|Woman
182160|Tops|Blouses|Woman
182161|Outerwear|Dresses|Woman
182162|Tops|Knitwear|Woman
182163|Outerwear|Blazers|Woman
182164|Accessories|Accessories|Child
182165|Underwear & Nightwear|Pajamas|Child
182167|Outerwear|Coats|Child
182168|Child|Kids|Child
182173|Outerwear|Suits|Man
182174|Bottoms|Pants and Jeans|Man
182175|Tops|Shirts|Man
182177|Tops|Sweatshirts|Man
182178|Outerwear|Blazers|Man
182180|Underwear & Nightwear|Underwear|Woman
182181|Sportswear|Sportswear|Woman
182182|Outerwear|Suits|Woman
182184|Bottoms|Pants and Jeans|Woman
182185|Tops|T-Shirts|Woman
182186|Tops|Blouses|Woman
182187|Outerwear|Dresses|Woman
182189|Outerwear|Blazers|Woman
182194|Child|Kids|Child
182197|Underwear & Nightwear|Underwear|Man
182198|Sportswear|Sportswear|Man
182199|Outerwear|Suits|Man
182200|Bottoms|Pants and Jeans|Man
182201|Tops|Shirts|Man
182202|Tops|Polos|Man
182204|Outerwear|Blazers|Man
182206|Underwear & Nightwear|Underwear|Woman
182207|Sportswear|Sportswear|Woman
182208|Outerwear|Suits|Woman
182210|Bottoms|Pants and Jeans|Woman
182212|Tops|Blouses|Woman
182213|Outerwear|Dresses|Woman
182215|Outerwear|Blazers|Woman
182216|Accessories|Accessories|Child
182218|Tops|Sweaters|Child
182219|Outerwear|Coats|Child
182220|Child|Kids|Child
182222|Accessories|Accessories|Man
182225|Outerwear|Suits|Man
182226|Bottoms|Pants and Jeans|Man
182227|Tops|Shirts|Man
182228|Tops|Polos|Man
182229|Tops|Sweatshirts|Man
182230|Outerwear|Blazers|Man
182233|Sportswear|Sportswear|Woman
182234|Outerwear|Suits|Woman
182235|Bottoms|Skirts and Shorts|Woman
182237|Tops|T-Shirts|Woman
182238|Tops|Blouses|Woman
182239|Outerwear|Dresses|Woman
182240|Tops|Knitwear|Woman
182246|Child|Kids|Child
182250|Sportswear|Sportswear|Man
182251|Outerwear|Suits|Man
182252|Bottoms|Pants and Jeans|Man
182253|Tops|Shirts|Man
182254|Tops|Polos|Man
182259|Sportswear|Sportswear|Woman
182263|Tops|T-Shirts|Woman
182264|Tops|Blouses|Woman
182265|Outerwear|Dresses|Woman
182266|Tops|Knitwear|Woman
182267|Outerwear|Blazers|Woman
182269|Underwear & Nightwear|Pajamas|Child
182273|Child|Newborn|Child
182276|Sportswear|Sportswear|Man
