customer_id,age_years,net_amount,net_quantity,transaction_count,return_tx_count,nl_count,nl_open_rate,nl_click_rate,return_rate_tx,cluster
A0356882,57.97125256673511,60.5,1,17,8,12.0,0.3333333333333333,0.0,0.47058823529411764,0
A0357266,51.624914442162904,361.0,3,13,5,13.0,0.5384615384615384,0.1538461538461538,0.38461538461538464,0
A0357328,33.14715947980835,262.7,3,10,4,14.0,0.3571428571428571,0.1428571428571428,0.4,0
A0357849,55.43326488706365,317.5,2,6,2,1.0,0.0,0.0,0.3333333333333333,0
A0358076,43.945242984257355,608.1,5,15,5,22.0,0.5909090909090909,0.2272727272727272,0.3333333333333333,0
A0358100,57.94661190965092,822.4,5,11,3,7.0,0.7142857142857143,0.0,0.2727272727272727,0
A0359209,52.435318275154,1251.3,14,36,11,41.0,0.5121951219512195,0.0975609756097561,0.3055555555555556,1
A0359334,42.07529089664613,222.3,2,8,3,4.0,0.5,0.25,0.375,0
A0359572,34.53798767967146,1591.3,20,38,11,23.0,0.3478260869565217,0.217391304347826,0.2894736842105263,1
A0360371,59.84394250513346,1374.3,14,43,15,58.0,0.5689655172413793,0.293103448275862,0.3488372093023256,1
A0360603,70.82546201232033,1039.0,8,19,6,6.0,0.3333333333333333,0.0,0.3157894736842105,0
A0360718,49.620807665982205,402.1,3,5,1,7.0,0.2857142857142857,0.1428571428571428,0.2,0
A0361398,62.2258726899384,796.3,9,12,3,20.0,0.65,0.15,0.25,1
A0363540,55.11293634496919,664.0,3,10,4,14.0,0.7857142857142857,0.2857142857142857,0.4,0
A0363752,40.24914442162902,423.6,4,10,3,9.0,0.5555555555555556,0.2222222222222222,0.3,0
A0363811,58.03422313483915,173.0,2,4,1,3.0,1.0,0.3333333333333333,0.25,2
A0366871,38.81177275838467,0.0,0,2,1,3.0,0.3333333333333333,0.0,0.5,0
A0372446,60.91991786447638,310.0,1,5,2,10.0,0.4,0.0,0.4,0
A0372585,42.37645448323067,0.0,0,2,1,1.0,1.0,0.0,0.5,0
A0373734,54.94318959616701,140.0,1,3,1,3.0,1.0,0.3333333333333333,0.3333333333333333,0
A0374512,56.92539356605065,537.5,2,8,3,5.0,0.6,0.2,0.375,0
A0374698,37.45379876796714,0.0,0,2,1,4.0,0.5,0.0,0.5,0
A0375324,52.2299794661191,121.5,1,1,0,1.0,1.0,0.0,0.0,2
A0375857,32.186173853524984,429.0,3,1,0,3.0,0.0,0.0,0.0,3
A0375919,50.69952087611225,215.5,1,1,0,2.0,0.5,0.0,0.0,3
A0376419,45.31143052703628,327.0,4,10,3,22.0,0.5,0.2272727272727272,0.3,0
A0376748,33.21286789869952,134.8,1,7,3,6.0,0.6666666666666666,0.3333333333333333,0.42857142857142855,0
A0376828,43.671457905544145,0.0,0,2,1,2.0,0.0,0.0,0.5,0
A0377883,60.410677618069805,235.5,3,3,1,2.0,0.5,0.0,0.3333333333333333,0
A0378437,71.86584531143053,386.0,3,11,4,23.0,0.6521739130434783,0.1304347826086956,0.36363636363636365,0
A0378502,42.30527036276523,613.1,4,33,14,13.0,0.4615384615384615,0.2307692307692307,0.42424242424242425,0
A0379057,60.054757015742645,596.0,4,12,4,6.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0
A0380718,35.800136892539356,130.0,2,8,3,6.0,0.5,0.0,0.375,0
A0380878,46.85010266940452,400.1,4,3,0,4.0,0.5,0.0,0.0,3
A0382248,38.38740588637919,0.0,0,2,1,1.0,0.0,0.0,0.5,0
A0382907,59.501711156741955,0.0,0,4,2,8.0,0.5,0.0,0.5,0
A0383620,31.44147843942505,0.0,0,4,2,11.0,0.5454545454545454,0.3636363636363636,0.5,0
A0383882,36.93908281998631,489.5,2,6,2,4.0,0.25,0.25,0.3333333333333333,0
A0385189,46.680355920602324,0.0,0,2,1,3.0,0.6666666666666666,0.0,0.5,0
A0386763,40.57221081451061,116.5,1,1,0,3.0,0.3333333333333333,0.3333333333333333,0.0,3
A0386864,50.47227926078029,0.0,0,16,8,30.0,0.5333333333333333,0.2666666666666666,0.5,0
A0387728,60.271047227926076,703.7,6,16,6,12.0,0.4166666666666667,0.1666666666666666,0.375,0
A0387909,38.25598904859685,141.0,2,12,5,14.0,0.5,0.2857142857142857,0.4166666666666667,0
A0388141,48.889801505817935,315.5,4,26,11,13.0,0.4615384615384615,0.1538461538461538,0.4230769230769231,0
A0388673,25.475701574264203,575.1,7,9,2,2.0,1.0,1.0,0.2222222222222222,2
A0388833,37.667351129363446,153.0,1,7,3,3.0,0.6666666666666666,0.3333333333333333,0.42857142857142855,0
A0389448,33.596167008898014,151.5,1,1,0,6.0,0.5,0.3333333333333333,0.0,2
A0390622,50.899383983572896,0.0,0,12,6,8.0,0.625,0.125,0.5,0
A0391249,42.338124572210816,1344.7,8,12,2,14.0,0.3571428571428571,0.0,0.16666666666666666,1
A0391948,59.553730321697465,276.5,1,7,3,15.0,0.4,0.1333333333333333,0.42857142857142855,0
A0392132,56.511978097193705,267.0,2,8,3,2.0,0.5,0.0,0.375,0
A0393066,58.554414784394254,67.5,1,3,1,3.0,1.0,0.6666666666666666,0.3333333333333333,0
A0393509,50.00958247775496,184.4,2,10,4,15.0,0.6,0.0666666666666666,0.4,0
A0394632,41.57152635181382,552.0,3,5,1,14.0,0.5,0.1428571428571428,0.2,0
A0396214,59.99452429842574,723.8,7,15,4,14.0,0.5,0.4285714285714285,0.26666666666666666,0
A0396424,69.40451745379877,676.0,6,12,3,5.0,0.4,0.0,0.25,0
A0396539,51.983572895277206,148.5,2,4,1,2.0,0.5,0.0,0.25,0
A0399608,60.80492813141684,577.7,4,4,0,7.0,0.5714285714285714,0.2857142857142857,0.0,2
A0399678,56.94455852156057,305.5,2,2,0,1.0,0.0,0.0,0.0,3
A0399764,57.96577686516084,-345.5,-1,5,3,2.0,0.5,0.0,0.6,0
A0400577,50.338124572210816,0.0,0,2,1,2.0,1.0,0.0,0.5,0
A0401400,43.8631074606434,221.5,1,3,1,3.0,1.0,0.6666666666666666,0.3333333333333333,0
A0401785,54.732375085557834,0.0,0,4,2,3.0,0.0,0.0,0.5,0
A0402484,45.96851471594798,755.0,6,6,0,1.0,1.0,1.0,0.0,2
